iter	Passed	Remaining
1024	3596	3421
1025	3600	3417
1026	3603	3414
1027	3606	3410
1028	3610	3406
1029	3613	3402
1030	3617	3399
1031	3621	3396
1032	3624	3393
1033	3627	3388
1034	3631	3385
1035	3635	3382
1036	3638	3378
1037	3641	3374
1038	3643	3370
1039	3647	3366
1040	3650	3363
1041	3653	3359
1042	3656	3354
1043	3658	3350
1044	3661	3346
1045	3680	3356
1046	3685	3354
1047	3690	3351
1048	3694	3349
1049	3698	3346
1050	3702	3343
1051	3705	3339
1052	3708	3335
1053	3712	3331
1054	3714	3327
1055	3717	3323
1056	3720	3318
1057	3723	3314
1058	3726	3311
1059	3729	3307
1060	3732	3302
1061	3734	3298
1062	3737	3294
1063	3740	3290
1064	3744	3287
1065	3746	3282
1066	3749	3278
1067	3752	3274
1068	3755	3270
1069	3758	3267
1070	3761	3262
1071	3764	3258
1072	3767	3254
1073	3769	3250
1074	3772	3246
1075	3775	3242
1076	3778	3237
1077	3780	3233
1078	3784	3230
1079	3787	3226
1080	3790	3222
1081	3794	3219
1082	3797	3215
1083	3801	3211
1084	3803	3207
1085	3807	3204
1086	3810	3200
1087	3815	3197
1088	3817	3193
1089	3821	3190
1090	3825	3187
1091	3858	3208
1092	3864	3206
1093	3871	3205
1094	3876	3203
1095	3882	3201
1096	3887	3200
1097	3892	3197
1098	3897	3194
1099	3902	3192
1100	3906	3189
1101	3910	3186
1102	3914	3183
1103	3918	3180
1104	3922	3176
1105	3925	3172
1106	3928	3169
1107	3931	3165
1108	3935	3161
1109	3938	3157
1110	3940	3153
1111	3943	3149
1112	3946	3145
1113	3949	3141
1114	3952	3137
1115	3955	3132
1116	3957	3128
1117	3961	3125
1118	3964	3121
1119	3967	3117
1120	3971	3114
1121	3974	3110
1122	3977	3106
1123	3980	3101
1124	3983	3098
1125	3986	3094
1126	3988	3089
1127	3991	3085
1128	3994	3081
1129	3998	3078
1130	4001	3074
1131	4004	3070
1132	4007	3066
1133	4010	3062
1134	4013	3058
1135	4016	3054
1136	4019	3050
1137	4022	3046
1138	4024	3042
1139	4027	3038
1140	4030	3034
1141	4033	3030
1142	4036	3026
1143	4039	3022
1144	4042	3018
1145	4044	3014
1146	4048	3010
1147	4051	3006
1148	4053	3002
1149	4056	2998
1150	4058	2993
1151	4062	2990
1152	4064	2985
1153	4067	2981
1154	4069	2977
1155	4072	2973
1156	4075	2969
1157	4078	2965
1158	4080	2961
1159	4083	2957
1160	4085	2952
1161	4088	2948
1162	4091	2944
1163	4093	2940
1164	4096	2936
1165	4099	2932
1166	4101	2927
1167	4104	2923
1168	4107	2919
1169	4110	2915
1170	4112	2911
1171	4115	2907
1172	4118	2903
1173	4121	2899
1174	4124	2896
1175	4127	2892
1176	4130	2888
1177	4132	2883
1178	4135	2879
1179	4138	2875
1180	4141	2872
1181	4144	2868
1182	4149	2865
1183	4152	2861
1184	4154	2857
1185	4158	2853
1186	4160	2849
1187	4163	2845
1188	4166	2841
1189	4168	2837
1190	4171	2833
1191	4174	2829
1192	4176	2825
1193	4179	2821
1194	4182	2817
1195	4184	2813
1196	4187	2809
1197	4190	2805
1198	4192	2801
1199	4195	2796
1200	4197	2792
1201	4200	2788
1202	4203	2784
1203	4205	2780
1204	4208	2776
1205	4210	2772
